dicots 	 Veronica_verna 	 draft
dicots 	 Vicia_sativa 	 draft
dicots 	 Viola_odorata 	 draft
dicots 	 Viscum_album 	 draft
monocots 	 Alisma_plantago_aquatica 	 draft
monocots 	 Aponogeton_distachyos 	 draft
monocots 	 Bromus_sterilis 	 draft
monocots 	 Carex_arenaria 	 draft
monocots 	 Carex_depauperata 	 draft
monocots 	 Carex_divulsa 	 draft
monocots 	 Carex_hirta 	 draft
monocots 	 Carex_laevigata 	 draft
monocots 	 Carex_nigra 	 draft
monocots 	 Carex_pendula 	 draft
monocots 	 Carex_rostrata 	 draft
monocots 	 Carex_sylvatica 	 draft
monocots 	 Digitaria_sanguinalis 	 draft
monocots 	 Eleocharis_quinqueflora 	 draft
monocots 	 Iris_foetidissima 	 draft
monocots 	 Juncus_bufonius 	 draft
monocots 	 Juncus_effusus 	 draft
monocots 	 Lemna_minuta 	 draft
monocots 	 Luzula_sylvatica 	 draft
monocots 	 Narthecium_ossifragum 	 draft
monocots 	 Phragmites_australis 	 draft
monocots 	 Poa_chaixii 	 draft
monocots 	 Polypogon_viridis 	 draft
monocots 	 Schoenoplectus_lacustris 	 draft
monocots 	 Schoenoplectus_triqueter 	 draft
monocots 	 Triglochin_maritima 	 draft
monocots 	 Triglochin_palustris 	 draft
non-vascular-plants 	 Antitrichia_curtipendula 	 draft
non-vascular-plants 	 Bryoerythrophyllum_caledonicum 	 draft
non-vascular-plants 	 Climacium_dendroides 	 draft
non-vascular-plants 	 Hylocomiadelphus_triquetrus 	 draft
non-vascular-plants 	 Hyocomium_armoricum 	 draft
non-vascular-plants 	 Isothecium_myosuroides 	 draft
non-vascular-plants 	 Lunularia_cruciata 	 draft
non-vascular-plants 	 Neckera_pumila 	 draft
non-vascular-plants 	 Plagiothecium_denticulatum 	 draft
non-vascular-plants 	 Polytrichum_commune 	 draft
non-vascular-plants 	 Polytrichum_formosum 	 draft
non-vascular-plants 	 Pseudoscleropodium_purum 	 draft
non-vascular-plants 	 Rhytidiadelphus_loreus 	 draft
non-vascular-plants 	 Sphagnum_contortum 	 draft
non-vascular-plants 	 Sphagnum_girgensohnii 	 draft
non-vascular-plants 	 Sphagnum_tenellum 	 draft
non-vascular-plants 	 Straminergon_stramineum 	 draft
non-vascular-plants 	 Thuidium_delicatulum 	 draft
non-vascular-plants 	 Thuidium_tamariscinum 	 draft
non-vascular-plants 	 Ulota_crispa 	 draft
vascular-plants 	 Diphasiastrum_alpinum 	 draft
