insects 	 Nabis_limbatus 	 genomic_data 	 ihNabLimb1 	 pacbio
insects 	 Nabis_rugosus 	 genomic_data 	 ihNabRugo1 	 10x
insects 	 Nabis_rugosus 	 genomic_data 	 ihNabRugo1 	 hic-arima2
insects 	 Nabis_rugosus 	 genomic_data 	 ihNabRugo1 	 pacbio
insects 	 Nebria_brevicollis 	 genomic_data 	 icNebBrev1 	 10x
insects 	 Nebria_brevicollis 	 genomic_data 	 icNebBrev1 	 hic-arima2
insects 	 Nebria_brevicollis 	 genomic_data 	 icNebBrev1 	 pacbio
insects 	 Nebria_salina 	 genomic_data 	 icNebSali1 	 10x
insects 	 Nebria_salina 	 genomic_data 	 icNebSali1 	 hic-arima2
insects 	 Nebria_salina 	 genomic_data 	 icNebSali1 	 pacbio
insects 	 Nedyus_quadrimaculatus 	 genomic_data 	 icNedQuad2 	 hic-arima2
insects 	 Nematus_tibialis 	 genomic_data 	 iyNemTibi1 	 hic-arima2
insects 	 Nemophora_degeerella 	 genomic_data 	 ilNemDege1 	 10x
insects 	 Nemophora_degeerella 	 genomic_data 	 ilNemDege2 	 10x
insects 	 Nemophora_metallica 	 genomic_data 	 ilNemMetl2 	 hic-arima2
insects 	 Nemoura_avicularis 	 genomic_data 	 ipNemAvic1 	 hic-arima2
insects 	 Nemoura_dubitans 	 genomic_data 	 ipNemDubi1 	 10x
insects 	 Nemoura_dubitans 	 genomic_data 	 ipNemDubi1 	 hic-arima2
insects 	 Nemoura_dubitans 	 genomic_data 	 ipNemDubi1 	 pacbio
insects 	 Nemoura_lacustris 	 genomic_data 	 ipNemLacu3 	 hic-arima2
insects 	 Nemurella_pictetii 	 genomic_data 	 ipNemPict1 	 hic-arima2
insects 	 Nemurella_pictetii 	 genomic_data 	 ipNemPict2 	 10x
insects 	 Nemurella_pictetii 	 genomic_data 	 ipNemPict2 	 pacbio
insects 	 Neocochylis_molliculana 	 genomic_data 	 ilNeoMoll1 	 pacbio
insects 	 Neophilaenus_lineatus 	 genomic_data 	 ihNeoLine3 	 hic-arima2
insects 	 Nephrotoma_flavescens 	 genomic_data 	 idNepFlae1 	 pacbio
insects 	 Nephrotoma_flavescens 	 genomic_data 	 idNepFlae2 	 hic-arima2
insects 	 Nephrotoma_flavipalpis 	 genomic_data 	 idNepFlai1 	 10x
insects 	 Nephrotoma_flavipalpis 	 genomic_data 	 idNepFlai1 	 pacbio
insects 	 Nephrotoma_flavipalpis 	 genomic_data 	 idNepFlai2 	 hic-arima2
insects 	 Nicrophorus_vespillo 	 genomic_data 	 icNicVesi1 	 hic-arima2
insects 	 Noctua_comes 	 genomic_data 	 ilNocCome1 	 pacbio
insects 	 Noctua_fimbriata 	 genomic_data 	 ilNocFimb1 	 10x
insects 	 Noctua_fimbriata 	 genomic_data 	 ilNocFimb1 	 hic-arima2
insects 	 Noctua_fimbriata 	 genomic_data 	 ilNocFimb1 	 pacbio
insects 	 Noctua_janthe 	 genomic_data 	 ilNocJant1 	 10x
insects 	 Noctua_janthe 	 genomic_data 	 ilNocJant1 	 hic-arima2
insects 	 Noctua_janthe 	 genomic_data 	 ilNocJant1 	 pacbio
insects 	 Noctua_pronuba 	 genomic_data 	 ilNocPron1 	 10x
insects 	 Noctua_pronuba 	 genomic_data 	 ilNocPron1 	 hic-arima2
insects 	 Noctua_pronuba 	 genomic_data 	 ilNocPron1 	 pacbio
insects 	 Nola_cucullatella 	 genomic_data 	 ilNolCucu1 	 10x
insects 	 Nola_cucullatella 	 genomic_data 	 ilNolCucu1 	 pacbio
insects 	 Nomada_fabriciana 	 genomic_data 	 iyNomFabr1 	 10x
insects 	 Nomada_fabriciana 	 genomic_data 	 iyNomFabr1 	 hic-arima2
insects 	 Nomada_fabriciana 	 genomic_data 	 iyNomFabr1 	 pacbio
insects 	 Noterus_clavicornis 	 genomic_data 	 icNotClav1 	 10x
insects 	 Noterus_clavicornis 	 genomic_data 	 icNotClav1 	 hic-arima2
insects 	 Notiophilus_biguttatus 	 genomic_data 	 icNotBigu1 	 pacbio
insects 	 Notiophilus_substriatus 	 genomic_data 	 icNotSubs1 	 hic-arima2
insects 	 Notocelia_uddmanniana 	 genomic_data 	 ilNotUddm1 	 10x
insects 	 Notocelia_uddmanniana 	 genomic_data 	 ilNotUddm1 	 hic-arima
insects 	 Notocelia_uddmanniana 	 genomic_data 	 ilNotUddm1 	 pacbio
insects 	 Notocelia_uddmanniana 	 genomic_data 	 ilNotUddm2 	 hic-qiagen
insects 	 Notodonta_dromedarius 	 genomic_data 	 ilNotDrom1 	 10x
insects 	 Notodonta_dromedarius 	 genomic_data 	 ilNotDrom1 	 hic-arima
insects 	 Notodonta_dromedarius 	 genomic_data 	 ilNotDrom1 	 pacbio
insects 	 Notodonta_ziczac 	 genomic_data 	 ilNotZicz1 	 10x
insects 	 Notodonta_ziczac 	 genomic_data 	 ilNotZicz1 	 hic-arima2
insects 	 Notodonta_ziczac 	 genomic_data 	 ilNotZicz1 	 pacbio
insects 	 Notonecta_glauca 	 genomic_data 	 ihNotGlau1 	 hic-arima2
insects 	 Notonecta_glauca 	 genomic_data 	 ihNotGlau1 	 pacbio
insects 	 Nowickia_ferox 	 genomic_data 	 idNowFero1 	 hic-arima2
insects 	 Nowickia_ferox 	 genomic_data 	 idNowFero1 	 pacbio
insects 	 Nymphalis_c-album 	 genomic_data 	 ilPolCalb1 	 10x
insects 	 Nymphalis_c-album 	 genomic_data 	 ilPolCalb1 	 pacbio
insects 	 Nymphalis_polychloros 	 genomic_data 	 ilNymPoly1 	 10x
insects 	 Nymphalis_polychloros 	 genomic_data 	 ilNymPoly1 	 hic-arima2
insects 	 Nymphalis_polychloros 	 genomic_data 	 ilNymPoly1 	 pacbio
insects 	 Nymphalis_urticae 	 genomic_data 	 ilAglUrti1 	 10x
insects 	 Nymphalis_urticae 	 genomic_data 	 ilAglUrti1 	 pacbio
insects 	 Nymphalis_urticae 	 genomic_data 	 ilAglUrti2 	 hic-arima
insects 	 Nymphula_nitidulata 	 genomic_data 	 ilNymNiti1 	 10x
insects 	 Nymphula_nitidulata 	 genomic_data 	 ilNymNiti1 	 pacbio
insects 	 Nysson_spinosus 	 genomic_data 	 iyNysSpin1 	 10x
insects 	 Nysson_spinosus 	 genomic_data 	 iyNysSpin1 	 hic-arima2
insects 	 Nysson_spinosus 	 genomic_data 	 iyNysSpin1 	 pacbio
insects 	 Ochlodes_sylvanus 	 genomic_data 	 ilOchSylv2 	 10x
insects 	 Ochlodes_sylvanus 	 genomic_data 	 ilOchSylv3 	 10x
insects 	 Ochlodes_sylvanus 	 genomic_data 	 ilOchSylv3 	 pacbio
insects 	 Ochlodes_sylvanus 	 genomic_data 	 ilOchSylv4 	 hic-arima2
insects 	 Ochropleura_plecta 	 genomic_data 	 ilOchPlec1 	 10x
insects 	 Ochropleura_plecta 	 genomic_data 	 ilOchPlec1 	 hic-arima2
insects 	 Ochropleura_plecta 	 genomic_data 	 ilOchPlec1 	 pacbio
insects 	 Ocypus_olens 	 genomic_data 	 icOcyOlen1 	 10x
insects 	 Ocypus_olens 	 genomic_data 	 icOcyOlen1 	 hic-arima2
insects 	 Ocypus_olens 	 genomic_data 	 icOcyOlen1 	 pacbio
insects 	 Odontocerum_albicorne 	 genomic_data 	 iiOdoAlbi1 	 10x
insects 	 Odontocerum_albicorne 	 genomic_data 	 iiOdoAlbi1 	 hic-arima2
insects 	 Odontocerum_albicorne 	 genomic_data 	 iiOdoAlbi1 	 pacbio
insects 	 Oedemera_lurida 	 genomic_data 	 icOedLuri1 	 10x
